.Vial.Label.	Species.Code	Predator.Species.Name	Seamap.Cruise..	Station..	Capture.Date	Content	Weight..g.	Plate.Name	Cleaned?	Extraction.Well.Location	384.PCR.Plate	384.PCR.Well.Location	Ext.Cnt.	Dilution.Plate	Dilution.Well.Location	Primer.Plate.Format	Primer.Plate	Primer.Well.Location	#	Notes	Band	Primer.Dimer	Smear	Non.Specific.Product	Primer.Plate.Format.2	Primer.Plate.2	Primer.Plate	Primer.Well.Location2	Band	Primer.Dimer	Smear	Non.Specific.Product	Well.Clogging	Big.Pool	Gel.Cnt.	Gel.Notes	Final.Nucleic.Acid.Conc...ng.ul.	Final.Volume	Target.ng	Reads.80	Reads.90	Reads.80.l	Reads.90.l	Concatenated.Scoring	Reads
814-A	Upar.1	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0245	R1G1S1 		A1	NA	NA	1	R1G1S1D	A1	96	1	A1	1		0	1	0	0	96	#4 (96)	4	A1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
815-A	Upar.1	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0078	R1G1S1 		B1	NA	NA	1	R1G1S1D	B1	96	1	B1	2		1	1	0	0	96	#4 (96)	4	B1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	368
815-B	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0106	R1G1S1		C1	NA	NA	1	R1G1S1D	C1	96	1	C1	3		0	0	0	0	96	#4 (96)	4	C1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
815-C	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Crust.	0.008	R1G1S1		D1	NA	NA	1	R1G1S1D	D1	96	1	D1	4		0	0	0	0	96	#4 (96)	4	D1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
815-D	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0265	R1G1S1		E1	NA	NA	1	R1G1S1D	E1	96	1	E1	5		0	0	0	0	96	#4 (96)	4	E1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-0-0-0	NA
815-E	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0134	R1G1S1		F1	NA	NA	1	R1G1S1D	F1	96	1	F1	6		1	1	0	0	96	#4 (96)	4	F1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	1-1-0-0	797
815-E2	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0041	R1G1S1		G1	NA	NA	1	R1G1S1D	G1	96	1	G1	7		0	1	0	0	96	#4 (96)	4	G1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
815-F	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Misc.	0.0095	R1G1S1		H1	NA	NA	1	R1G1S1D	H1	96	1	H1	8		2	1	0	1	96	#4 (96)	4	H1	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-1	456
815-I	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Crust.	0.0267	R1G1S1		A2	NA	NA	1	R1G1S1D	A2	96	1	A2	9		2	1	0	2	96	#4 (96)	4	A2	0	1	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	2-1-0-2	NA
816-A	Upar.2	Upeneus parvus	6320141406	4	11/3/2014	Shrimp	0.0109	R1G1S1		B2	NA	NA	1	R1G1S1D	B2	96	1	B2	10		0	1	0	0	96	#4 (96)	4	B2	0	0	0	0	0	2	1		0	NA	NA	NA	NA	NA	NA	0-1-0-0	NA
