sample	sample_name
SimonsH1_1901B	SimonsH1_1901B
SimonsH1_1685C	SimonsH1_1685C
SimonsH1_1759B	SimonsH1_1759B
SimonsH1_1774X	SimonsH1_1774X
SimonsH1_1760E	SimonsH1_1760E
SimonsH1_1283C	SimonsH1_1283C
SimonsH1_356A	SimonsH1_356A
SimonsH1_1799D	SimonsH1_1799D
SimonsH1_1915I	SimonsH1_1915I
SimonsH1_352A	SimonsH1_352A
SimonsH1_408A	SimonsH1_408A
SimonsH1_168A	SimonsH1_168A
SimonsH1_1901A	SimonsH1_1901A
SimonsH1_1759E	SimonsH1_1759E
SimonsH1_352C	SimonsH1_352C
SimonsH1_1764C	SimonsH1_1764C
SimonsH1_1902T	SimonsH1_1902T
SimonsH1_1666D	SimonsH1_1666D
SimonsH1_1397E2	SimonsH1_1397E2
SimonsH1_1397M	SimonsH1_1397M
SimonsH1_1793A1	SimonsH1_1793A1
SimonsH1_1283A	SimonsH1_1283A
SimonsH1_1784F	SimonsH1_1784F
SimonsH1_1760B	SimonsH1_1760B
SimonsH1_1936B	SimonsH1_1936B
SimonsH1_1793A2	SimonsH1_1793A2
SimonsH1_1903E	SimonsH1_1903E
SimonsH1_1915E	SimonsH1_1915E
SimonsH1_1790G	SimonsH1_1790G
SimonsH1_1720A	SimonsH1_1720A
SimonsH1_1915G	SimonsH1_1915G
SimonsH1_1518D	SimonsH1_1518D
SimonsH1_1908A	SimonsH1_1908A
SimonsH1_1794A	SimonsH1_1794A
SimonsH1_1794D	SimonsH1_1794D
SimonsH1_1527Q	SimonsH1_1527Q
SimonsH1_136A	SimonsH1_136A
SimonsH1_2050A	SimonsH1_2050A
SimonsH1_1652P	SimonsH1_1652P
SimonsH1_1228C	SimonsH1_1228C
SimonsH1_1422D	SimonsH1_1422D
SimonsH1_1562S	SimonsH1_1562S
SimonsH1_1872C	SimonsH1_1872C
SimonsH1_1154A	SimonsH1_1154A
SimonsH1_1399T	SimonsH1_1399T
SimonsH1_1576A	SimonsH1_1576A
SimonsH1_1538D	SimonsH1_1538D
SimonsH1_1869B	SimonsH1_1869B
SimonsH1_1419G	SimonsH1_1419G
SimonsH1_1576C	SimonsH1_1576C
SimonsH1_1629B	SimonsH1_1629B
SimonsH1_1579L	SimonsH1_1579L
SimonsH1_1404P	SimonsH1_1404P
SimonsH1_1567B	SimonsH1_1567B
SimonsH1_768B	SimonsH1_768B
SimonsH1_2109B	SimonsH1_2109B
SimonsH1_1536L	SimonsH1_1536L
SimonsH1_1419H	SimonsH1_1419H
SimonsH1_2105D	SimonsH1_2105D
SimonsH1_1548C	SimonsH1_1548C
SimonsH1_1538C	SimonsH1_1538C
SimonsH1_1746A	SimonsH1_1746A
SimonsH1_1843H	SimonsH1_1843H
SimonsH1_779B	SimonsH1_779B
SimonsH1_890A	SimonsH1_890A
