sample_id,reads,notes
SimonsH1_1009A,4693,
SimonsH1_1012A,88,
SimonsH1_1044A,38,
SimonsH1_1066C,48,
SimonsH1_1154A,145,
SimonsH1_1166A,68,
SimonsH1_1283A,7333,
SimonsH1_1283C,24,
SimonsH1_136A,80,
SimonsH1_1397E2,452,
SimonsH1_1397M,25345,
SimonsH1_1399T,395,
SimonsH1_1404P,6,
SimonsH1_1419G,18,
SimonsH1_1419H,12,
SimonsH1_1422D,65,
SimonsH1_1518D,30,
SimonsH1_1527Q,1040,
SimonsH1_1536L,65,
SimonsH1_1538C,328,
SimonsH1_1538D,2,
SimonsH1_1548C,6,
SimonsH1_1562S,354,
SimonsH1_1576A,718,
SimonsH1_1576C,1238,
SimonsH1_1579L,34,
SimonsH1_1629B,29,
SimonsH1_1652P,20547,
SimonsH1_1666D,9860,
SimonsH1_1685C,318,
SimonsH1_168A,20,
SimonsH1_1720A,69,
SimonsH1_1746A,57110,
SimonsH1_1759B,3299,
SimonsH1_1759E,171,
SimonsH1_1760B,31,
SimonsH1_1760E,25,
SimonsH1_1764C,70,
SimonsH1_1774X,14,
SimonsH1_1784F,210,
SimonsH1_1790G,569,
SimonsH1_1793A1,27,
SimonsH1_1793A2,50,
SimonsH1_1794A,26,
SimonsH1_1794D,9771,
SimonsH1_1799D,3,
SimonsH1_1843H,65,
SimonsH1_1872C,26,
SimonsH1_1901A,37909,
SimonsH1_1901B,246,
SimonsH1_1902T,91,
SimonsH1_1903E,2,
SimonsH1_1908A,41,
SimonsH1_1915E,409,
SimonsH1_1915G,93,
SimonsH1_1915I,4142,
SimonsH1_1936B,549,
SimonsH1_2050A,5,
SimonsH1_2105D,70,
SimonsH1_2109B,87,
SimonsH1_352A,65,
SimonsH1_352C,58,
SimonsH1_408A,39,
SimonsH1_768B,13,
SimonsH1_779B,16,
SimonsH1_816B,5273,
SimonsH1_824A,5641,
SimonsH1_826A,3852,
SimonsH1_835F,247,
SimonsH1_837B,278,
SimonsH1_837C,6880,
SimonsH1_840A,2525,
SimonsH1_890A,17872,
SimonsH1_947A,4051,
SimonsH2_1006A,1631,
SimonsH2_1006B,131,
SimonsH2_1039A,122,
SimonsH2_1049A,18,
SimonsH2_1053H,382,
SimonsH2_1083A,24,
SimonsH2_1106C,34,
SimonsH2_1167A,152,
SimonsH2_1258C,2619,
SimonsH2_1327A,996,
SimonsH2_1397Q,268,
SimonsH2_1400A,83,
SimonsH2_1400B,31,
SimonsH2_1514D8,405,
SimonsH2_1514H5,76,
SimonsH2_1514Z42,80,
SimonsH2_1518I2,28,
SimonsH2_1519E,2130,
SimonsH2_1519F,1077,
SimonsH2_1519K,1001,
SimonsH2_1527O,661,
SimonsH2_1566I,30,
SimonsH2_1571E,595,
SimonsH2_1572R,281,
SimonsH2_1573L,802,
SimonsH2_1581H,6,
SimonsH2_1582D,1980,
SimonsH2_1582Q,3314,
SimonsH2_1649S,184,
SimonsH2_1652HH,226,
SimonsH2_1685B,98,
SimonsH2_1714D1,150,
SimonsH2_1745H,20718,
SimonsH2_1746B,15350,
SimonsH2_1747C,675,
SimonsH2_1749A,57094,
SimonsH2_1752A,117,
SimonsH2_1753B,200,
SimonsH2_1763O,130,
SimonsH2_1767A,25,
SimonsH2_1768B1,1408,
SimonsH2_1768B2,562,
SimonsH2_1770A,3306,
SimonsH2_1774P,213,
SimonsH2_1790D,303,
SimonsH2_1794B,142,
SimonsH2_1794C,425,
SimonsH2_1798O,444,
SimonsH2_1867B,106,
SimonsH2_1870L,203,
SimonsH2_1892A,12,
SimonsH2_1895A,3,
SimonsH2_1900A,47378,
SimonsH2_1900K,4815,
SimonsH2_1901E,5461,
SimonsH2_1904A,182,
SimonsH2_1904B2,50,
SimonsH2_1905W,3799,
SimonsH2_1905Z,28,
SimonsH2_197B,53,
SimonsH2_2083B,8279,
SimonsH2_222A,2,
SimonsH2_250A,6192,
SimonsH2_262D,146,
SimonsH2_301A,77,
SimonsH2_326A,1173,
SimonsH2_466C,1879,
SimonsH2_733A,96,
SimonsH2_774A,4,
SimonsH2_819A,293,
SimonsH2_830A,1742,
